municipality,year,month,ndvi_mean,ndvi_std,evi_mean,evi_std,ndwi_mean,ndwi_std,s2_valid_px,vv_mean,vv_std,vh_mean,vh_std,s1_valid_px
Alaminos,2024,11,0.6219586812196602,0.18164395307466963,0.5807633068081255,0.19121528802891502,-0.5532749460613273,0.16006291056883865,11772,-6.312016376006455,2.382483438348398,-13.033244455455364,2.569492832827923,150260
Alaminos,2024,12,0.46785460391714695,0.08594703462946875,0.5896735257054313,0.12099273017460077,-0.37794624690844875,0.07230536162364211,2939,-5.47683756963113,2.269336613221591,-12.174256739963097,2.336303114893685,150289
Alaminos,2025,1,0.6963364447505428,0.21900148175848697,0.56111464410045,0.23034727811210687,-0.6141544860787221,0.18696756332297093,37002,-5.576639130023283,2.295778150667261,-12.457767728356703,2.4017939281411396,150284
Alaminos,2025,2,0.5672945555785424,0.12535016490241102,0.6160989867118392,0.16652857615065245,-0.4805930294096471,0.10171546148452922,920,-6.129643961816657,2.419562621163904,-12.821811870228442,2.5076346625579835,150291
Alaminos,2025,3,0.748275183327832,0.18682777728442704,0.6652486879139811,0.1941698391085111,-0.6643852202240293,0.15072122697486912,37698,-5.908464390350609,2.2948553105259126,-12.842862449463533,2.3708532848674673,150286
Alaminos,2025,4,0.7140170459673786,0.17682348045483232,0.5883321489729044,0.17169108021527707,-0.647681647633111,0.13668499573226348,107044,-7.299000067021749,2.541680753209971,-14.127299994219237,2.372370497363198,150287
Alaminos,2025,5,0.7908532189958181,0.15779489188536663,0.7244980502754717,0.18869965898309926,-0.6869050178295831,0.12452675732529073,65606,-5.933959527883573,2.382074012959355,-12.821429678607656,2.447005420291369,150290
Alaminos,2025,6,0.821277015365993,0.16098965252988487,0.7149322389382988,0.16589075332693076,-0.7174001503219782,0.12465398105342626,75214,-6.005485629379374,2.3647982688382374,-12.87700922646883,2.1188250795780306,150286
Alaminos,2025,7,,,,,,,,-6.358933046893975,2.4334638199885688,-13.09929575178033,2.2626227425986025,150285
Alaminos,2025,8,0.7655456948040373,0.18957808605452936,0.7302867342851225,0.20826241051169583,-0.6648998113080736,0.15422814644305016,52783,-5.649258450530568,2.375824539645212,-12.522667044230282,2.3492649756606068,150293
Alaminos,2025,9,0.756362753182114,0.18094713181993402,0.7358013969432494,0.2055258085836932,-0.6538945674759611,0.1479310771866808,44183,-5.729476657844174,2.437750394427549,-12.52074039966645,2.2167813483086443,150285
Alaminos,2025,10,,,,,,,0,-5.697903454562974,2.3574256285742847,-12.675715514120606,2.37435673052783,150291
Alaminos,2025,11,0.7528850530130576,0.13215945329022674,0.6623757159916912,0.14945627428156102,-0.6510277477596156,0.11315993208924742,29123,-6.364495609348353,2.409835617915802,-13.071198403378698,2.235582474771651,150285
Bay,2018,1,0.6719552388076656,0.21712762890688792,0.5079486398807296,0.2974102982370991,-0.5915987237707666,0.18594512237070573,64241,-6.928048388828759,2.9734073988669683,-13.689309839820034,3.3113641692816533,97382
Bay,2018,2,0.7336627744666611,0.20052186847503314,0.5977684903024535,0.2865702741804704,-0.6440231093025667,0.1681209134064024,52495,-7.28526722575235,2.884388923785491,-13.877214796040871,2.944056208987893,97386
Bay,2018,3,0.6084244869934559,0.2133648951873835,0.5090498161231343,0.20655702000440848,-0.5537157686483438,0.16586756064444597,55246,-7.454606132586367,2.775674516150998,-14.00850549275519,2.745879978898445,97385
Bay,2018,4,0.5800240045733515,0.21898378710364816,0.4849450005484948,0.4218438190802105,-0.5377530016935355,0.16126257784378917,64332,-7.66382597094036,2.7710192649091163,-13.933728000518466,2.6617403967706537,97385
Bay,2018,5,0.42356160287516853,0.21395485090212868,0.30592987260511106,0.3624119846576234,-0.3808924548873214,0.1737238904593804,10883,-7.1752558460559275,3.057090567146911,-13.385863060436437,3.181788560371876,97332
Bay,2018,6,0.5551187153331371,0.2748594741769912,0.50612015738142,0.31755220977927046,-0.4632378788064173,0.23932593680423955,50292,-7.361322768749925,3.2422794120807072,-14.390850828038886,3.7009271282305156,97379
Bay,2018,7,,,,,,,,-6.754563688900824,3.2718149639582377,-13.710325532204406,3.6061984967265066,97259
Bay,2018,8,0.5104881345663062,0.12870068269904428,0.5426885838387536,0.3288936452512831,-0.4176079891628129,0.1179911977343902,768,-7.4849587019182815,2.86608529181097,-14.195522243988185,3.2325772391712047,97347
Bay,2018,9,0.5781832346842699,0.21957341908056388,0.4698536881498688,0.2105093772765828,-0.5066836324539128,0.1844257137253028,52583,-7.17394112654477,2.95185937345277,-13.531475595901654,2.844637652186338,97360
Bay,2018,10,0.7937034223294103,0.17622228395577774,0.6799702523443146,0.20957480569258835,-0.6941518949426121,0.14996453407094124,29549,-7.3236451526407995,2.820068016324077,-13.761089605382589,2.7379202456177674,97343
Bay,2018,11,0.5839622789853582,0.2821608385591185,0.4061060299706843,0.24079044160375598,-0.5374011022807899,0.22757162505656364,73430,-7.447516015190278,3.0788090870842244,-14.431139578594612,3.5191676474769165,97340
Bay,2018,12,0.6104480972038938,0.22555116603313738,0.5309680216836058,0.24176414563138177,-0.5320295052538115,0.18694274609240502,47186,-7.541958986731825,4.12276131030715,-14.706447898721667,5.024856145678479,97169
Bay,2019,1,0.6712863239298864,0.23000711280865893,0.5551627509804572,0.22016074211924672,-0.5994032226047257,0.18899493493398856,25124,-7.532090113533425,2.907458624753985,-14.722333734654455,3.505971642852023,97324
Bay,2019,2,0.7375331096984704,0.16555693097223348,0.6701016842324724,0.18218690092318615,-0.6576762613282726,0.12908281143200812,28544,-7.697262734492459,2.896651720637181,-14.559420622651187,3.2468497362974302,97301
Bay,2019,3,0.5686806395108792,0.22825985644991997,0.46574201342262517,0.33117255166857773,-0.5174468485373851,0.1702444473007543,41016,-7.959731505582835,2.9255989323184717,-14.305368975955698,2.9617521985045303,97340
Bay,2019,4,0.5579291821523646,0.20648614012773783,0.416952811865043,0.17961145347947804,-0.5334258305644545,0.1482875743324996,85991,-8.064765584966283,2.8776793761061374,-14.343030735772555,2.945884679503988,97344
Bay,2019,5,0.6889791798429523,0.22238558444520273,0.5778672516907836,0.21681130159609888,-0.6059502522704728,0.17467646996219505,67711,-7.588092587319273,3.0286679244778774,-14.160717200905996,3.2166359826641946,97347
Bay,2019,6,0.6137928110512231,0.28685437426293964,0.4612675511811305,0.2804716553456042,-0.5433579800090198,0.23250713535223125,77520,-7.043091684334134,2.89595623504746,-14.02283282489634,3.3086671686634417,97373
Bay,2019,7,0.7001273288538533,0.2468905057684266,0.601233227847533,0.25903209683587874,-0.6089430752835807,0.20713081807950334,43350,-6.911940166764886,2.996374123117799,-13.965118354634608,3.4739357453666146,97371
Bay,2019,8,0.6231568021035886,0.21535969478598602,0.49905878907385126,0.23320352378896925,-0.5359393675689175,0.18033218240153073,13773,-6.659955737886519,3.0530725909109795,-13.471469128526326,3.1361429350944867,97239
Bay,2019,9,0.46800945119598014,0.1428621500368446,0.49208346801004804,0.16208085289668786,-0.38901024778582827,0.11718600226211577,18534,-7.168360863448674,2.8393623546521813,-13.720071306238177,2.78089632654441,97357
Bay,2019,10,0.6623987667533601,0.24610953691897242,0.5692253493539134,15.43648621475675,-0.6017925266509122,0.1827529227931963,82917,-6.358363953017627,2.597550027186508,-12.607058268752073,2.3921232123847225,97377
Bay,2019,11,0.5873674746414222,0.2307803743863043,0.46280224840428297,0.2608195021694823,-0.5314071457641143,0.18584720686644987,63234,-6.797762159381653,2.862018287991635,-13.55012336729563,3.0899665877171865,97377
Bay,2019,12,0.4223083256761089,0.1979988579813184,0.3247887791251307,0.20602754447350624,-0.36006970283346107,0.166403591197515,19827,-7.491542182961997,3.036878023853809,-14.633050646019315,3.83368503337761,97331
Bay,2020,1,0.6884051388988403,0.23750100405417188,0.4637669706083469,0.2092822234079246,-0.6042642336205664,0.20402300617420227,88339,-7.264043896665809,2.820503757801155,-14.355956142150255,3.4867919030121737,97285
Bay,2020,2,0.6950610911928602,0.1840589225104031,0.5911347698194495,0.18446137709669005,-0.6087484775199076,0.1523342177404575,51379,-7.551360578133788,2.849589411428646,-14.34428923682084,3.1242178691739992,97358
Bay,2020,3,0.6269213634435491,0.21567250634544416,0.45625691877654645,0.18684457667728857,-0.5763168875610761,0.15765945609571086,86866,-7.68750579309131,2.872984808554751,-14.019969750023755,2.801317801180871,97368
Bay,2020,4,0.5476136085553557,0.19412531215947446,0.4607674194669377,0.20304411716673454,-0.4867114430863282,0.14578058961721843,57405,-7.758890228842844,2.874985284550592,-14.153597643989208,2.7732753196084996,97373
Bay,2020,5,0.5432544158565652,0.27039421331011243,0.44014183665668244,0.27664845172300334,-0.4645637873134728,0.23318794615516145,63109,-6.815773082277162,3.197503322184713,-13.270706813188024,3.413812708275381,97373
Bay,2020,6,0.6520692445847274,0.2550898103242494,0.556456161312499,0.2705334781732743,-0.5630528348374779,0.21737035711560632,64301,-7.2195907881521295,2.87152239919622,-14.284098667820281,3.4182439614010853,97359
Bay,2020,7,0.5824161815752917,0.20011079676435994,0.6085061047602889,0.3097597134607507,-0.4698435025883838,0.18312804718018652,4413,-6.7841267085710575,3.057549072120145,-13.712748448446357,3.211934300908451,97234
Bay,2020,8,0.7594679541380214,0.19034350158436103,0.6118274190071729,0.19884923734656462,-0.66765165549809,0.15363690358093054,65608,-7.206249109044788,2.9491726039841133,-13.628534729493383,2.7843104108229912,97361
Bay,2020,9,0.5678460995441689,0.21238554363562406,0.45930739618166505,0.20482133414846737,-0.5008081468392129,0.157073243684542,23756,-6.374973739644754,2.7556308529777223,-12.807444372214563,2.493170462997378,97351
Bay,2020,10,0.549484073203375,0.24853392413393058,0.4445369206756942,0.2697879068788895,-0.48548087823429215,0.21379175689666657,48853,-5.611452569895207,2.380027463009814,-12.164381389803655,2.336816193849638,97384
Bay,2020,11,0.4617450886464899,0.3170663471043899,0.3171526520224295,0.2536303523725717,-0.42089147599252674,0.26837546888385355,42156,-7.447818565432795,3.343808551355564,-14.456535193939096,4.327327749188882,97303
Bay,2020,12,0.6609756355351367,0.2545268345864081,0.49754910374873723,0.26212178263023095,-0.5840831358789533,0.211414273047671,45227,-7.307054756683332,3.137321241826125,-14.621074345494597,4.179568776767282,97295
