municipality,year,month,rainfall_mm,temp_mean_c,days
Cavinti,2019,5,220.9,25.9,31
Cavinti,2019,6,247.3,25.99,30
Cavinti,2019,7,299.0,25.01,31
Cavinti,2019,8,327.1,24.79,31
Cavinti,2019,9,391.1,24.51,30
Cavinti,2019,10,188.0,24.22,31
Cavinti,2019,11,240.7,23.99,30
Cavinti,2019,12,500.3,23.32,31
Cavinti,2020,1,172.7,22.84,31
Cavinti,2020,2,176.9,22.05,29
Cavinti,2020,3,75.4,23.95,31
Cavinti,2020,4,82.0,24.94,30
Cavinti,2020,5,423.9,26.26,31
Cavinti,2020,6,245.5,25.57,30
Cavinti,2020,7,301.9,25.31,31
Cavinti,2020,8,376.2,24.97,31
Cavinti,2020,9,245.5,25.35,30
Cavinti,2020,10,675.2,24.36,31
Cavinti,2020,11,678.8,23.82,30
Cavinti,2020,12,501.3,23.71,31
Cavinti,2021,1,298.9,22.47,31
Cavinti,2021,2,215.6,22.57,28
Cavinti,2021,3,220.3,23.8,31
Cavinti,2021,4,60.6,24.46,30
Cavinti,2021,5,136.2,25.66,31
Cavinti,2021,6,337.7,25.53,30
Cavinti,2021,7,436.9,24.93,31
Cavinti,2021,8,257.0,25.15,31
Cavinti,2021,9,421.4,24.7,30
Cavinti,2021,10,272.1,24.35,31
Cavinti,2021,11,164.1,24.13,30
Cavinti,2021,12,288.3,22.63,31
Cavinti,2022,1,104.2,22.52,31
Cavinti,2022,2,126.2,22.78,28
Cavinti,2022,3,99.5,24.35,31
Cavinti,2022,4,160.3,24.17,30
Cavinti,2022,5,204.3,25.4,31
Cavinti,2022,6,263.1,25.25,30
Cavinti,2022,7,395.6,24.99,31
Cavinti,2022,8,366.7,24.6,31
Cavinti,2022,9,291.4,24.57,30
Cavinti,2022,10,493.4,24.42,31
Cavinti,2022,11,231.4,24.05,30
Cavinti,2022,12,308.6,22.77,31
Cavinti,2023,1,352.5,22.05,31
Cavinti,2023,2,183.1,22.69,28
Cavinti,2023,3,32.0,23.14,31
Cavinti,2023,4,137.8,24.77,30
Cavinti,2023,5,205.6,25.61,31
Cavinti,2023,6,292.9,25.45,30
Cavinti,2023,7,237.3,25.49,31
Cavinti,2023,8,140.4,25.69,31
Cavinti,2023,9,246.9,25.24,30
Cavinti,2023,10,220.3,24.75,31
Cavinti,2023,11,303.5,24.05,30
Cavinti,2023,12,237.5,23.66,31
Cavinti,2024,1,82.8,22.64,31
Cavinti,2024,2,76.0,23.16,29
Cavinti,2024,3,102.0,23.71,31
Cavinti,2024,4,35.5,26.01,30
Cavinti,2024,5,350.9,26.61,31
Cavinti,2024,6,312.4,25.86,30
Cavinti,2024,7,397.5,25.01,31
Cavinti,2024,8,272.2,25.42,31
Cavinti,2024,9,380.9,25.24,30
Cavinti,2024,10,411.1,24.8,31
Cavinti,2024,11,154.2,24.64,30
Cavinti,2024,12,542.2,23.21,31
Cavinti,2025,1,278.0,22.59,31
Cavinti,2025,2,316.9,22.81,28
Cavinti,2025,3,162.5,23.73,31
Cavinti,2025,4,27.2,25.9,30
Cavinti,2025,5,150.4,26.09,31
Cavinti,2025,6,383.7,25.11,30
Cavinti,2025,7,376.0,24.97,31
Cavinti,2025,8,421.4,24.69,31
Cavinti,2025,9,487.0,24.08,30
Cavinti,2025,10,370.9,24.29,31
Cavinti,2025,11,422.3,24.0,30
Cavinti,2025,12,187.4,23.19,31
City of Biñan,2018,1,204.9,24.87,31
City of Biñan,2018,2,13.9,25.3,28
City of Biñan,2018,3,60.3,25.97,31
City of Biñan,2018,4,83.9,27.4,30
City of Biñan,2018,5,42.1,28.83,31
City of Biñan,2018,6,224.1,26.89,30
City of Biñan,2018,7,482.5,25.78,31
City of Biñan,2018,8,177.0,26.34,31
City of Biñan,2018,9,362.8,26.03,30
City of Biñan,2018,10,95.2,26.47,31
City of Biñan,2018,11,87.6,26.39,30
City of Biñan,2018,12,348.9,25.55,31
City of Biñan,2019,1,26.5,24.57,31
City of Biñan,2019,2,7.8,24.89,28
City of Biñan,2019,3,9.1,26.61,31
City of Biñan,2019,4,18.8,28.52,30
City of Biñan,2019,5,210.9,27.85,31
City of Biñan,2019,6,279.1,27.95,30
City of Biñan,2019,7,293.3,26.57,31
City of Biñan,2019,8,362.9,26.43,31
City of Biñan,2019,9,378.6,26.08,30
City of Biñan,2019,10,65.3,26.65,31
City of Biñan,2019,11,117.7,26.17,30
City of Biñan,2019,12,180.8,25.72,31
City of Biñan,2020,1,46.4,25.32,31
City of Biñan,2020,2,32.5,24.98,29
City of Biñan,2020,3,9.7,27.15,31
City of Biñan,2020,4,20.3,28.24,30
City of Biñan,2020,5,286.8,28.68,31
City of Biñan,2020,6,242.9,27.68,30
City of Biñan,2020,7,337.4,27.06,31
City of Biñan,2020,8,306.8,26.53,31
City of Biñan,2020,9,237.9,26.87,30
City of Biñan,2020,10,484.0,26.05,31
City of Biñan,2020,11,423.3,25.94,30
City of Biñan,2020,12,345.5,25.65,31
City of Biñan,2021,1,132.8,24.65,31
City of Biñan,2021,2,68.2,24.76,28
City of Biñan,2021,3,56.8,26.33,31
City of Biñan,2021,4,16.8,27.65,30
City of Biñan,2021,5,80.9,28.73,31
City of Biñan,2021,6,269.4,27.46,30
City of Biñan,2021,7,273.5,26.94,31
City of Biñan,2021,8,250.0,26.91,31
City of Biñan,2021,9,446.1,26.45,30
City of Biñan,2021,10,234.3,26.31,31
City of Biñan,2021,11,64.5,26.93,30
City of Biñan,2021,12,78.5,25.55,31
City of Biñan,2022,1,32.3,25.52,31
City of Biñan,2022,2,28.8,26.04,28
City of Biñan,2022,3,32.6,27.61,31
City of Biñan,2022,4,64.0,27.42,30
City of Biñan,2022,5,289.1,27.85,31
